status,employee,industry,manager,age
No growth,25,Technology,59,24
Growth,50,Food,20,20
Growth,74,Food,18,19
No growth,120,Food,45,15
No growth,14,Services,17,7
Growth,35,Food,15,15
No growth,7,Retail,27,18
No growth,6,Services,4,5
Growth,26,Food,3,4
Growth,165,Services,12,15
Growth,23,Food,14,15
No growth,5,Food,15,13
No growth,1000,Retail,21,22
No growth,7,Food,15,15
Growth,42,Food,9,10
No growth,100,Food,20,20
Growth,90,Services,7,8
No growth,5,Food,19,19
No growth,734,Services,5,11
Growth,78,Food,20,22
No growth,15,Services,20,14
Growth,120,Services,9,10
No growth,8,Retail,16,17
Growth,106,Services,13,19
No growth,12,Services,8,10
No growth,30,Retail,5,13
No growth,50,Services,22,28
No growth,25,Food,30,21
Growth,6,Food,19,4
No growth,138,Retail,21,4
No growth,84,Services,4,14
Growth,22,Food,8,23
No growth,42,Retail,10,7
No growth,112,Retail,20,27
No growth,25,Technology,33,54
Growth,5,Food,8,4
No growth,10,Retail,22,23
No growth,31,Food,11,12
Growth,129,Services,3,4
No growth,8,Services,30,14
No growth,34,Food,20,6
No growth,150,Retail,20,21
Growth,5,Food,10,4
No growth,120,Food,2,20
No growth,30,Services,15,10
No growth,5,Retail,3,5
Growth,120,Services,9,10
No growth,20,Food,8,9
No growth,5,Services,4,6
No growth,18,Food,11,12
No growth,7,Services,13,15
Growth,50,Food,10,11
Growth,25,Food,20,22
No growth,25,Retail,18,19
No growth,5,Retail,23,24
Growth,210,Technology,30,54
No growth,28,Services,20,16
No growth,147,Services,27,15
Growth,25,Technology,10,6
No growth,112,Food,16,18
Growth,5,Food,7,5
Growth,250,Services,10,6
Growth,5,Food,12,10
No growth,5,Services,3,5
No growth,45,Technology,30,26
No growth,5,Food,10,5
Growth,12,Technology,30,14
Growth,186,Food,15,16
Growth,866,Services,30,18
No growth,48,Food,14,15
Growth,9,Technology,12,21
No growth,123,Services,25,16
No growth,200,Services,10,15
Growth,19,Food,17,18
No growth,20,Services,8,10
Growth,20,Food,25,20
Growth,50,Technology,2,18
No growth,10,Services,3,4
No growth,19,Food,7,8
No growth,220,Retail,10,12
No growth,5,Retail,9,10
No growth,19,Services,14,16
No growth,5,Food,12,12
Growth,250,Services,9,10
Growth,22,Food,2,3
No growth,22,Services,4,5
Growth,33,Food,20,7
Growth,12,Food,10,11
No growth,46,Food,1,3
No growth,5,Services,37,5
Growth,7,Technology,3,4
Growth,25,Food,9,10
No growth,25,Food,25,17
No growth,16,Retail,20,20
Growth,30,Food,10,11
No growth,80,Services,18,20
No growth,5,Services,10,11
Growth,5,Food,5,3
Growth,45,Food,20,10
Growth,37,Food,19,11
No growth,125,Services,25,15
Growth,150,Services,10,11
No growth,15,Services,7,8
No growth,6,Services,17,18
Growth,140,Food,18,19
Growth,30,Food,5,9
Growth,11,Technology,6,7
No growth,7,Services,9,8
Growth,25,Technology,25,11
No growth,15,Services,14,10
No growth,5,Services,1,3
No growth,15,Services,15,11
No growth,70,Services,3,4
No growth,130,Services,15,4
Growth,120,Services,20,7
No growth,25,Services,10,10
Growth,178,Services,5,3
Growth,200,Services,7,8
Growth,200,Services,18,19
No growth,85,Retail,15,17
Growth,5,Food,5,3
Growth,120,Services,3,20
No growth,200,Retail,10,13
Growth,6,Food,16,17
No growth,5,Services,7,8
No growth,45,Retail,10,24
No growth,40,Food,1,10
No growth,130,Food,13,24
No growth,97,Retail,8,3
Growth,52,Food,9,10
Growth,145,Services,3,4
Growth,123,Food,12,22
Growth,344,Food,15,16
No growth,160,Food,10,7
Growth,25,Food,5,5
No growth,14,Services,17,22
No growth,24,Services,14,10
Growth,30,Food,10,8
Growth,48,Food,9,10
Growth,55,Food,25,13
No growth,55,Retail,7,9
No growth,55,Food,10,12
No growth,16,Food,17,20
No growth,50,Services,2,13
Growth,23,Food,18,14
No growth,34,Food,37,21
Growth,15,Food,10,15
No growth,21,Food,14,15
Growth,105,Food,4,5
Growth,8,Food,15,15
No growth,21,Retail,2,3
Growth,118,Services,13,16
No growth,5,Services,1,3
Growth,55,Food,10,24
Growth,65,Food,16,17
Growth,6,Food,6,20
Growth,240,Services,3,11
No growth,300,Services,12,9
No growth,5,Food,20,18
No growth,100,Services,10,9
Growth,1100,Technology,44,27
No growth,10,Services,16,17
No growth,5,Services,10,11
Growth,95,Food,9,10
Growth,6,Food,1,4
Growth,35,Food,15,13
Growth,270,Services,7,12
Growth,85,Services,12,12
No growth,162,Services,13,14
Growth,918,Food,22,24
Growth,7,Food,4,5
No growth,167,Services,35,14
No growth,25,Services,15,7
Growth,30,Food,41,5
No growth,36,Retail,20,8
Growth,17,Food,2,3
Growth,10,Food,2,3
No growth,7,Retail,10,12
No growth,24,Food,12,12
Growth,18,Food,6,8
Growth,6,Technology,17,18
Growth,25,Technology,8,3
No growth,154,Retail,13,14
Growth,11,Technology,8,9
Growth,205,Food,10,12
No growth,15,Retail,10,19
No growth,8,Services,20,7
Growth,24,Food,5,6
No growth,5,Services,20,21
No growth,274,Retail,42,27
No growth,5,Services,31,17
Growth,6,Food,25,16
No growth,15,Food,40,29
No growth,352,Services,10,6
No growth,28,Food,15,10
Growth,70,Food,16,18
No growth,43,Retail,30,25
No growth,6,Retail,15,6
No growth,50,Services,20,13
Growth,7,Food,5,6
Growth,5,Food,10,10
Growth,10,Food,10,16
No growth,20,Food,5,22
No growth,60,Retail,10,22
Growth,6,Technology,9,5
No growth,15,Services,11,6
Growth,470,Services,15,17
Growth,9,Technology,3,5
Growth,12,Technology,10,12
Growth,200,Food,17,18
Growth,75,Technology,52,79
No growth,173,Services,6,16
Growth,150,Food,20,14
Growth,5,Food,18,18
Growth,1000,Services,15,17
No growth,5,Services,10,8
No growth,5,Retail,1,17
No growth,5,Services,10,9
No growth,20,Food,5,5
No growth,12,Services,10,11
Growth,157,Services,24,10
No growth,140,Services,25,13
Growth,13,Technology,7,20
No growth,5,Services,5,6
Growth,17,Technology,8,5
Growth,55,Food,9,10
Growth,8,Food,20,5
Growth,150,Services,19,20
Growth,7,Food,2,6
Growth,140,Services,5,6
Growth,5,Food,30,9
Growth,20,Food,9,9
No growth,35,Services,12,14
No growth,150,Food,18,20
Growth,21,Food,8,5
No growth,105,Retail,24,25
Growth,52,Food,15,21
Growth,12,Food,19,21
No growth,10,Food,1,3
No growth,18,Services,37,15
Growth,35,Food,19,20
No growth,8,Retail,8,10
Growth,16,Food,10,21
No growth,10,Retail,20,21
Growth,13,Manufacturing,6,7
No growth,95,Manufacturing,22,23
Growth,4,Manufacturing,13,10
Growth,11,Manufacturing,26,27
Growth,7,Manufacturing,17,18
Growth,200,Manufacturing,27,28
No growth,30,Manufacturing,45,46
Growth,25,Manufacturing,22,16
Growth,48,Manufacturing,26,27
Growth,45,Manufacturing,18,14
No growth,20,Manufacturing,40,45
Growth,10,Manufacturing,40,51
Growth,320,Manufacturing,17,18
Growth,22,Manufacturing,33,34
Growth,50,Manufacturing,20,48
No growth,55,Manufacturing,25,50
Growth,7,Manufacturing,3,4
Growth,31,Manufacturing,11,12
No growth,30,Manufacturing,36,37
Growth,34,Manufacturing,10,32
Growth,5,Manufacturing,20,21
Growth,20,Manufacturing,10,12
Growth,30,Manufacturing,15,11
Growth,5,Manufacturing,8,9
Growth,30,Manufacturing,18,18
Growth,23,Manufacturing,9,19
Growth,40,Manufacturing,22,24
Growth,150,Manufacturing,18,19
Growth,15,Manufacturing,12,13
Growth,19,Manufacturing,26,27
Growth,34,Manufacturing,9,10
Growth,9,Manufacturing,25,20
Growth,25,Manufacturing,30,29
Growth,65,Manufacturing,26,27
Growth,85,Manufacturing,13,15
Growth,45,Manufacturing,35,28
Growth,8,Manufacturing,8,10
Growth,20,Manufacturing,30,24
Growth,2,Manufacturing,30,12
Growth,6,Manufacturing,50,60
Growth,100,Manufacturing,14,15
Growth,23,Manufacturing,15,11
Growth,22,Manufacturing,13,14
Growth,13,Manufacturing,17,16
No growth,24,Manufacturing,35,31
Growth,40,Manufacturing,18,20
Growth,6,Manufacturing,20,15
Growth,12,Manufacturing,25,31
Growth,170,Manufacturing,15,16
Growth,35,Manufacturing,19,20
Growth,8,Manufacturing,13,14
No growth,50,Manufacturing,30,30
Growth,70,Manufacturing,30,11
Growth,8,Manufacturing,19,32
No growth,45,Manufacturing,30,40
Growth,20,Manufacturing,10,6
Growth,18,Manufacturing,15,6
Growth,6,Manufacturing,10,3
Growth,34,Manufacturing,18,19
Growth,14,Manufacturing,20,14
Growth,20,Manufacturing,32,33
Growth,25,Manufacturing,17,18
Growth,36,Manufacturing,15,13
Growth,32,Manufacturing,16,17
Growth,16,Manufacturing,20,20
No growth,25,Manufacturing,20,38
No growth,18,Manufacturing,32,33
Growth,180,Manufacturing,20,5
Growth,80,Manufacturing,43,13
Growth,17,Manufacturing,30,20
Growth,100,Manufacturing,14,15
No growth,103,Manufacturing,20,31
No growth,6,Manufacturing,30,28
Growth,17,Manufacturing,2,3
Growth,3,Manufacturing,20,9
No growth,6,Manufacturing,3,32
Growth,60,Manufacturing,23,24
Growth,90,Manufacturing,15,4
Growth,7,Manufacturing,15,16
No growth,12,Manufacturing,19,21
No growth,120,Manufacturing,32,35
Growth,10,Manufacturing,5,6
No growth,45,Manufacturing,20,56
No growth,140,Manufacturing,36,35
Growth,7,Manufacturing,9,10
No growth,70,Manufacturing,30,29
No growth,26,Manufacturing,24,25
Growth,30,Manufacturing,30,31
Growth,56,Manufacturing,15,10
Growth,5,Manufacturing,8,9
Growth,6,Manufacturing,25,26
Growth,85,Manufacturing,30,30
Growth,30,Manufacturing,19,20
Growth,52,Manufacturing,17,10
Growth,12,Manufacturing,2,3
Growth,14,Manufacturing,45,33
Growth,97,Manufacturing,40,40
Growth,14,Manufacturing,9,12
Growth,6,Manufacturing,15,6
No growth,12,Services,25,10
Growth,125,Manufacturing,3,13
No growth,12,Retail,14,15
Growth,20,Manufacturing,43,27
No growth,15,Retail,27,28
No growth,8,Services,23,27
No growth,24,Retail,10,7
No growth,20,Services,15,13
No growth,9,Services,3,14
Growth,10,Manufacturing,9,6
Growth,12,Manufacturing,15,17
Growth,45,Manufacturing,30,12
No growth,63,Services,20,22
Growth,15,Manufacturing,20,24
Growth,14,Manufacturing,14,14
No growth,50,Retail,6,14
Growth,50,Manufacturing,8,6
No growth,30,Manufacturing,15,26
No growth,40,Manufacturing,22,23
Growth,40,Manufacturing,13,14
No growth,30,Services,25,23
Growth,15,Manufacturing,24,21
Growth,350,Manufacturing,10,15
Growth,200,Manufacturing,23,33
No growth,140,Manufacturing,33,24
Growth,12,Manufacturing,25,12
No growth,205,Services,14,15
Growth,171,Manufacturing,16,59
No growth,20,Manufacturing,30,28
No growth,5,Services,15,8
Growth,156,Manufacturing,5,6
No growth,44,Services,27,29
Growth,6,Retail,50,25
Growth,81,Manufacturing,16,17
Growth,5,Manufacturing,11,13
Growth,80,Manufacturing,60,94
Growth,34,Manufacturing,24,25
No growth,65,Services,5,10
No growth,35,Manufacturing,28,29
No growth,98,Services,19,28
No growth,120,Services,30,32
No growth,720,Services,17,67
No growth,22,Manufacturing,13,24
No growth,17,Retail,20,16
No growth,37,Retail,21,16
No growth,200,Retail,10,12
Growth,160,Services,11,12
No growth,6,Services,20,21
Growth,52,Manufacturing,8,82
Growth,40,Manufacturing,14,26
No growth,800,Services,15,14
Growth,45,Manufacturing,9,16
Growth,1000,Manufacturing,18,20
No growth,5,Retail,13,15
Growth,42,Manufacturing,11,14
No growth,4,Retail,16,18
Growth,10,Manufacturing,15,25
No growth,14,Retail,30,22
No growth,33,Retail,15,16
Growth,20,Manufacturing,4,5
No growth,10,Services,15,23
No growth,4,Retail,16,18
No growth,40,Services,10,8
No growth,200,Manufacturing,20,91
Growth,10,Manufacturing,1,6
No growth,30,Manufacturing,52,37
No growth,14,Manufacturing,23,24
No growth,7,Manufacturing,5,29
No growth,30,Manufacturing,26,27
Growth,75,Manufacturing,10,12
Growth,5,Manufacturing,3,4
No growth,3,Services,40,16
Growth,100,Manufacturing,2,11
No growth,25,Retail,5,13
No growth,11,Services,17,18
Growth,79,Manufacturing,20,23
No growth,8,Services,30,31
No growth,70,Retail,12,13
Growth,30,Manufacturing,3,3
No growth,9,Retail,11,12
Growth,16,Retail,2,3
No growth,12,Manufacturing,12,27
No growth,35,Services,24,11
Growth,40,Retail,1,7
No growth,12,Retail,15,16
No growth,5,Services,14,15
Growth,400,Manufacturing,28,29
Growth,560,Manufacturing,27,43
No growth,150,Manufacturing,30,25
No growth,15,Retail,4,5
No growth,20,Services,7,8
No growth,70,Manufacturing,6,24
No growth,5,Retail,8,9
Growth,35,Manufacturing,15,16
Growth,100,Manufacturing,12,13
Growth,39,Manufacturing,1,28
Growth,400,Manufacturing,25,57
Growth,50,Manufacturing,50,84
No growth,15,Manufacturing,23,48
Growth,12,Manufacturing,5,6
No growth,20,Retail,14,12
No growth,12,Manufacturing,27,29
Growth,12,Manufacturing,17,18
Growth,190,Services,20,9
Growth,43,Manufacturing,12,13
Growth,17,Manufacturing,42,43
No growth,10,Services,28,29
No growth,12,Services,27,14
No growth,7,Services,18,22
No growth,300,Services,2,64
Growth,95,Services,40,19
No growth,15,Services,45,30
Growth,10,Manufacturing,30,50
Growth,5,Retail,3,3
No growth,5,Retail,15,16
No growth,12,Services,25,23
No growth,4,Services,16,17
Growth,36,Manufacturing,51,88
Growth,20,Manufacturing,2,13
Growth,12,Manufacturing,11,12
Growth,112,Manufacturing,55,56
Growth,60,Manufacturing,3,26
Growth,36,Manufacturing,14,9
No growth,18,Manufacturing,50,25
No growth,400,Manufacturing,20,28
Growth,35,Manufacturing,8,25
No growth,10,Retail,21,23
No growth,60,Manufacturing,24,25
No growth,10,Retail,13,14
Growth,75,Manufacturing,30,80
Growth,15,Manufacturing,20,21
No growth,500,Retail,16,17
Growth,15,Manufacturing,3,3
Growth,16,Manufacturing,23,24
Growth,60,Manufacturing,10,8
Growth,5,Manufacturing,17,18
Growth,4,Manufacturing,8,15
No growth,3,Services,7,8
No growth,15,Manufacturing,10,52
No growth,5,Manufacturing,20,22
No growth,20,Services,18,19
No growth,6,Services,25,23
Growth,140,Manufacturing,10,8
Growth,35,Manufacturing,22,43
No growth,130,Manufacturing,45,27
Growth,160,Services,18,22
No growth,5,Services,40,17
No growth,7,Services,15,11
No growth,3,Services,46,29
Growth,77,Manufacturing,45,24
Growth,70,Manufacturing,2,3
No growth,5,Services,23,16
No growth,17,Manufacturing,50,27
No growth,9,Retail,44,18
No growth,140,Retail,10,11
Growth,800,Manufacturing,7,29
Growth,17,Manufacturing,10,14
Growth,102,Manufacturing,3,17
Growth,600,Manufacturing,30,73
No growth,300,Retail,25,26
Growth,50,Manufacturing,26,26
Growth,45,Manufacturing,15,29
No growth,30,Services,13,18
Growth,50,Manufacturing,13,14
No growth,80,Manufacturing,29,61
No growth,200,Services,40,17
Growth,118,Manufacturing,4,6
Growth,15,Manufacturing,23,25
No growth,6,Retail,9,22
No growth,9,Retail,15,13
Growth,40,Manufacturing,1,8
No growth,10,Manufacturing,30,25
No growth,350,Manufacturing,24,54
No growth,5,Services,15,6
Growth,12,Manufacturing,1,5
No growth,180,Manufacturing,40,64
Growth,45,Manufacturing,2,4
Growth,40,Manufacturing,25,27
Growth,40,Manufacturing,8,8
Growth,600,Services,20,17
Growth,7,Manufacturing,20,18
Growth,16,Manufacturing,12,28
Growth,120,Manufacturing,23,24
No growth,450,Services,1,22
Growth,60,Manufacturing,30,27
No growth,95,Manufacturing,55,64
No growth,12,Manufacturing,43,23
No growth,800,Manufacturing,10,23
No growth,8,Retail,18,7
No growth,1500,Services,10,14
Growth,80,Manufacturing,5,6
Growth,60,Manufacturing,22,42
No growth,395,Manufacturing,25,26
No growth,110,Services,43,25
No growth,26,Services,35,47
No growth,5,Retail,14,12
Growth,14,Manufacturing,25,44
No growth,10,Retail,6,14
No growth,15,Retail,12,13
Growth,15,Manufacturing,20,60
No growth,10,Services,17,18
No growth,640,Services,15,12
No growth,15,Manufacturing,12,25
Growth,34,Manufacturing,3,70
Growth,435,Manufacturing,30,79
No growth,8,Retail,55,16
No growth,2,Services,25,26
No growth,5,Retail,3,4
No growth,170,Manufacturing,15,65
No growth,22,Services,5,5
Growth,20,Manufacturing,3,4
Growth,249,Manufacturing,5,77
No growth,3,Services,45,23
No growth,15,Retail,8,9
Growth,208,Manufacturing,6,24
Growth,303,Manufacturing,40,14
Growth,60,Manufacturing,35,14
No growth,20,Services,26,27
Growth,17,Manufacturing,16,29
No growth,30,Retail,18,25
No growth,76,Retail,9,9
Growth,10,Manufacturing,20,22
Growth,19,Manufacturing,12,13
No growth,28,Retail,12,23
No growth,120,Retail,3,14
Growth,326,Services,36,6
No growth,40,Manufacturing,4,26
Growth,157,Services,25,13
No growth,17,Retail,20,17
Growth,250,Manufacturing,7,24
Growth,500,Services,15,25
Growth,21,Manufacturing,25,27
Growth,148,Retail,4,9
No growth,175,Retail,40,25
No growth,20,Services,15,7
Growth,190,Manufacturing,24,27
No growth,30,Manufacturing,21,22
No growth,34,Retail,1,16
No growth,7,Services,17,13
No growth,19,Retail,10,5
No growth,13,Services,8,22
No growth,7,Manufacturing,27,29
Growth,40,Manufacturing,22,15
Growth,155,Manufacturing,16,19
No growth,10,Services,22,23
No growth,200,Retail,22,24
No growth,71,Manufacturing,18,28
No growth,17,Manufacturing,34,27
No growth,5,Retail,26,27
Growth,185,Manufacturing,27,28
Growth,225,Services,28,19
Growth,90,Manufacturing,15,19
No growth,95,Manufacturing,5,28
No growth,301,Services,20,23
Growth,115,Manufacturing,20,21
Growth,50,Manufacturing,20,28
Growth,50,Manufacturing,5,5
Growth,53,Manufacturing,7,8
Growth,10,Manufacturing,38,26
Growth,21,Manufacturing,14,20
No growth,20,Retail,1,15
No growth,24,Services,13,10
No growth,16,Services,25,27
Growth,240,Services,3,18
No growth,220,Manufacturing,35,25
No growth,25,Retail,6,14
No growth,7,Retail,21,22
No growth,6,Retail,28,29
No growth,4,Retail,26,28
No growth,32,Retail,16,14
Growth,200,Services,14,29
No growth,1,Services,10,19
No growth,6,Retail,20,28
Growth,280,Services,6,9
No growth,27,Retail,12,4
No growth,3,Retail,27,19
Growth,35,Manufacturing,18,12
Growth,150,Services,4,26
Growth,350,Manufacturing,13,15
No growth,1,Manufacturing,27,29
No growth,50,Services,30,28
Growth,245,Manufacturing,24,19
Growth,60,Manufacturing,25,27
Growth,140,Manufacturing,30,16
Growth,700,Retail,28,29
No growth,16,Retail,25,4
Growth,67,Manufacturing,3,4
No growth,55,Retail,25,15
Growth,222,Manufacturing,14,15
Growth,81,Manufacturing,20,17
No growth,41,Manufacturing,26,23
Growth,11,Manufacturing,26,27
Growth,540,Manufacturing,19,20
No growth,32,Retail,12,13
No growth,4,Services,45,29
No growth,9,Services,10,20
Growth,160,Manufacturing,5,16
Growth,63,Retail,6,27
No growth,12,Manufacturing,30,28
Growth,59,Manufacturing,5,28
No growth,30,Retail,21,16
No growth,6,Retail,16,16
No growth,5,Retail,16,7
Growth,1,Manufacturing,16,27
No growth,80,Manufacturing,49,27
Growth,333,Manufacturing,23,24
Growth,129,Manufacturing,24,12
Growth,129,Manufacturing,46,27
No growth,5,Retail,42,25
No growth,50,Manufacturing,15,30
Growth,62,Manufacturing,25,26
No growth,14,Manufacturing,27,28
No growth,7,Services,54,27
No growth,93,Manufacturing,21,22
No growth,7,Retail,23,21
Growth,169,Manufacturing,22,15
Growth,32,Manufacturing,18,19
No growth,280,Services,8,26
No growth,330,Manufacturing,30,27
No growth,5,Retail,30,5
No growth,85,Retail,19,7
No growth,17,Retail,12,22
Growth,5,Manufacturing,53,23
Growth,10,Manufacturing,23,18
No growth,55,Services,19,26
No growth,3,Retail,40,23
No growth,7,Services,18,13
Growth,140,Services,15,27
Growth,137,Services,12,15
No growth,21,Retail,16,17
Growth,100,Manufacturing,22,23
Growth,1,Manufacturing,6,12
Growth,8,Manufacturing,16,19
Growth,200,Services,20,22
No growth,2,Services,22,23
Growth,117,Services,30,15
No growth,5,Retail,7,8
Growth,250,Manufacturing,20,28
No growth,58,Manufacturing,30,31
Growth,95,Manufacturing,15,17
Growth,12,Manufacturing,18,20
Growth,55,Manufacturing,48,22
Growth,275,Manufacturing,20,27
Growth,134,Manufacturing,30,24
Growth,26,Manufacturing,21,27
Growth,33,Manufacturing,26,27
Growth,40,Manufacturing,27,27
Growth,43,Manufacturing,18,20
No growth,18,Manufacturing,4,28
No growth,9,Services,45,8
Growth,10,Manufacturing,20,10
Growth,10,Manufacturing,25,27
No growth,6,Services,6,26
No growth,15,Services,20,16
No growth,20,Retail,1,18
No growth,12,Services,25,9
No growth,27,Services,10,9
No growth,26,Retail,1,17
Growth,4,Manufacturing,17,11
No growth,26,Manufacturing,20,21
No growth,24,Services,20,26
Growth,138,Manufacturing,37,19
No growth,60,Services,20,25
No growth,55,Services,50,28
Growth,15,Manufacturing,30,16
Growth,115,Services,23,24
No growth,190,Manufacturing,11,59
Growth,2200,Manufacturing,15,28
Growth,50,Manufacturing,12,21
Growth,302,Manufacturing,10,19
Growth,290,Manufacturing,1,10
No growth,6,Manufacturing,28,29
No growth,80,Manufacturing,27,28
No growth,5,Services,20,26
No growth,7,Retail,29,29
Growth,117,Manufacturing,26,27
No growth,100,Services,5,10
Growth,15,Manufacturing,20,6
No growth,148,Manufacturing,28,29
Growth,24,Manufacturing,24,24
Growth,44,Manufacturing,27,28
No growth,4,Services,9,21
No growth,112,Retail,10,15
No growth,5,Manufacturing,23,23
No growth,103,Retail,13,15
No growth,130,Services,7,7
No growth,251,Manufacturing,30,23
No growth,150,Services,10,27
Growth,320,Services,38,25
No growth,7,Retail,17,18
No growth,350,Services,30,68
No growth,43,Manufacturing,40,27
No growth,20,Retail,27,17
Growth,169,Services,12,15
Growth,25,Manufacturing,25,24
Growth,335,Manufacturing,40,29
No growth,120,Manufacturing,21,26
Growth,120,Manufacturing,19,12
Growth,195,Manufacturing,23,25
Growth,394,Services,26,20
Growth,8,Manufacturing,4,5
No growth,3,Manufacturing,60,29
No growth,8,Services,15,22
No growth,5,Retail,21,25
No growth,104,Retail,33,14
Growth,14,Manufacturing,27,18
Growth,25,Manufacturing,32,29
No growth,6,Retail,25,26
No growth,11,Services,6,22
Growth,203,Services,15,29
No growth,8,Services,27,29
Growth,384,Services,20,11
No growth,5,Services,3,4
Growth,1,Manufacturing,20,10
Growth,23,Manufacturing,25,7
No growth,11,Services,7,7
No growth,2,Retail,40,24
No growth,60,Manufacturing,5,24
Growth,350,Services,8,3
No growth,165,Manufacturing,30,21
Growth,25,Manufacturing,15,17
Growth,11,Manufacturing,13,15
No growth,10,Services,14,15
No growth,32,Retail,14,7
No growth,28,Retail,3,17
No growth,8,Retail,30,29
Growth,50,Manufacturing,25,21
No growth,28,Retail,9,12
No growth,26,Retail,13,14
No growth,210,Services,25,68
No growth,16,Services,34,40
No growth,75,Services,28,29
No growth,35,Services,30,9
No growth,5,Food,65,54
Growth,8,Food,20,33
No growth,5,Services,25,7
No growth,7,Food,45,29
No growth,15,Services,30,28
Growth,20,Food,35,56
Growth,3,Food,13,6
No growth,60,Food,18,19
No growth,7,Food,25,45
No growth,40,Food,45,7
No growth,9,Food,55,44
No growth,15,Services,32,13
No growth,20,Food,60,132
No growth,40,Services,17,22
No growth,30,Services,20,13
No growth,7,Services,40,20
No growth,40,Services,5,14
No growth,5,Services,30,32
No growth,10,Services,25,11
No growth,38,Food,30,81
No growth,23,Services,30,18
No growth,25,Services,25,17
No growth,170,Food,20,13
No growth,69,Services,9,38
No growth,12,Services,40,28
No growth,5,Services,20,40
No growth,400,Food,24,19
No growth,5,Food,40,17
Growth,120,Food,25,16
Growth,100,Food,30,30
No growth,10,Services,19,5
No growth,40,Services,20,23
No growth,2,Services,30,12
No growth,11,Services,23,28
No growth,50,Food,40,36
No growth,15,Food,36,30
No growth,70,Services,28,21
No growth,45,Services,50,79
No growth,27,Food,12,13
No growth,5,Food,35,50
No growth,210,Food,12,34
No growth,5,Services,26,14
Growth,45,Food,27,28
No growth,14,Services,20,22
No growth,19,Food,19,46
No growth,16,Services,42,46
No growth,130,Services,19,52
No growth,5,Services,17,25
No growth,25,Food,40,54
Growth,12,Food,20,20
Growth,15,Food,23,11
No growth,102,Services,16,6
Growth,20,Food,15,68
No growth,110,Services,40,26
Growth,50,Food,20,43
No growth,56,Services,30,29
No growth,60,Food,10,13
No growth,12,Food,30,23
No growth,60,Food,12,12
No growth,25,Food,25,12
No growth,3,Services,22,25
No growth,20,Services,42,25
No growth,45,Services,30,14
No growth,11,Services,25,22
No growth,400,Food,10,50
No growth,15,Food,29,68
No growth,140,Services,50,75
No growth,10,Services,9,23
No growth,26,Food,21,22
No growth,40,Services,26,14
No growth,5,Food,20,13
Growth,6,Food,40,32
No growth,22,Services,25,56
No growth,35,Services,46,14
No growth,120,Services,25,25
No growth,3,Services,21,9
No growth,7,Services,30,13
No growth,35,Services,15,53
No growth,65,Food,44,45
No growth,15,Services,25,16
No growth,14,Services,2,15
No growth,6,Services,28,50
No growth,45,Services,19,32
No growth,14,Services,4,18
Growth,10,Food,6,5
No growth,22,Food,19,81
No growth,30,Services,13,17
No growth,27,Services,28,20
Growth,100,Food,45,29
No growth,22,Food,45,45
Growth,550,Services,4,23
No growth,11,Food,30,12
Growth,50,Food,15,58
No growth,7,Food,25,21
No growth,24,Services,27,28
No growth,12,Services,21,13
No growth,8,Services,32,37
No growth,5,Services,25,14
Growth,100,Food,40,40
Growth,20,Food,12,13
Growth,120,Services,12,15
No growth,5,Food,17,15
Growth,70,Food,10,11
Growth,80,Food,34,8
No growth,50,Food,17,60
No growth,20,Food,23,20
No growth,50,Food,23,17
No growth,70,Services,49,24
Growth,30,Food,20,21
Growth,55,Food,40,53
No growth,75,Food,41,44
Growth,9,Food,30,40
No growth,9,Services,25,30
No growth,21,Food,39,40
Growth,135,Food,30,163
No growth,5,Services,52,56
Growth,90,Food,25,23
Growth,45,Food,52,77
No growth,65,Services,25,25
No growth,70,Services,10,20
No growth,19,Food,32,33
Growth,40,Food,40,16
No growth,5,Services,25,26
No growth,25,Food,35,30
No growth,272,Food,50,43
No growth,55,Services,58,56
No growth,3,Services,15,7
No growth,3,Food,15,20
No growth,5,Services,40,31
No growth,4,Services,50,33
No growth,207,Food,20,62
Growth,13,Food,6,3
No growth,45,Services,8,50
No growth,7,Services,22,23
Growth,120,Services,20,20
No growth,7,Services,15,9
No growth,5,Services,64,64
No growth,5,Food,7,50
No growth,25,Food,20,21
No growth,80,Services,8,9
Growth,5,Food,21,25
No growth,13,Services,12,13
No growth,5,Food,1,48
No growth,80,Food,8,60
No growth,10,Services,26,2
No growth,12,Food,45,35
No growth,130,Food,30,65
No growth,6,Food,39,40
No growth,70,Food,10,29
No growth,35,Food,15,40
No growth,12,Services,46,38
Growth,20,Food,6,42
No growth,11,Services,40,20
No growth,240,Services,26,34
No growth,12,Services,50,49
No growth,62,Services,22,10
Growth,40,Food,40,31
No growth,12,Services,65,38
No growth,39,Food,30,42
No growth,100,Services,30,41
No growth,17,Services,15,21
No growth,25,Food,15,13
No growth,90,Services,10,30
No growth,50,Services,16,17
No growth,40,Food,60,45
No growth,191,Services,18,50
No growth,300,Services,40,45
No growth,95,Services,12,13
No growth,200,Food,30,31
No growth,5,Services,46,47
Growth,10,Food,44,20
No growth,8,Food,18,101
No growth,10,Services,20,11
No growth,24,Food,25,23
No growth,17,Services,15,16
No growth,20,Food,40,6
No growth,35,Food,14,59
No growth,5,Services,40,16
No growth,18,Services,17,18
No growth,2,Food,40,28
No growth,25,Food,12,27
Growth,25,Food,27,56
Growth,2000,Food,63,63
Growth,17,Food,25,11
Growth,85,Food,35,84
Growth,10,Food,10,4
Growth,15,Food,50,110
